"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1012-10","USD","1012-10-0","Jd. Monte Belo","0","81072"
"1012-10","USD","1012-10-1","Term. Jd. Britania","1","81073"
"1012-21","U__","1012-21-0","Jd. Rosinha","0","81195"
"1015-10","USD","1015-10-0","Chác. Maria Trindade","0","81148"
"1016-10","USD","1016-10-0","Shop. Center Norte","0","72283"
"1016-10","USD","1016-10-1","Cem. Do Horto","1","82172"
"1017-10","USD","1017-10-0","Conexão Vl. Iório","0","72355"
"1017-10","USD","1017-10-1","Perus","1","72356"
"1018-10","USD","1018-10-0","Metrô Santana","0","71029"
"1018-10","USD","1018-10-1","Vl. Rosa","1","71030"
"1019-10","USD","1019-10-0","Term. Pirituba","0","81649"
"1019-10","USD","1019-10-1","Sol Nascente","1","81650"
"1020-10","USD","1020-10-0","Conexão Vl. Iório ","0","69454"
"1020-10","USD","1020-10-1","Perus","1","81663"
"1021-10","US_","1021-10-0","Term. Pirituba","0","58785"
"1021-10","US_","1021-10-1","Cohab Brasilândia","1","58786"
"1023-10","USD","1023-10-0","Cptm Pirituba","0","72879"
"1024-10","USD","1024-10-0","Conexão Petrônio Portela","0","58765"
"1024-10","USD","1024-10-1","Jd. Carombé","1","79504"
"1025-10","USD","1025-10-0","Conexão Petrônio Portela","0","58767"
"1025-10","USD","1025-10-1","Jd. Carombé","1","79505"
"1026-10","USD","1026-10-0","Conexão Petrônio Portela","0","60399"
"1026-10","USD","1026-10-1","Vl. Iara","1","60400"
"1034-10","USD","1034-10-0","Conexão Vl. Iório","0","60393"
"1034-10","USD","1034-10-1","Vl. Iara","1","60394"
"1036-10","USD","1036-10-0","Conexão Vl. Iório","0","72689"
"1036-10","USD","1036-10-1","Cohab Brasilândia","1","72690"
"106A-10","USD","106A-10-0","Itaim Bibi","0","60966"
"106A-10","USD","106A-10-1","Metrô Santana","1","60967"
"107T-10","USD","107T-10-0","Term. Pinheiros","0","80406"
"107T-10","USD","107T-10-1","Metrô Tucuruvi","1","68366"
"1156-10","USD","1156-10-0","Pça. Do Correio","0","82139"
"1156-10","USD","1156-10-1","Vl. Sabrina","1","82140"
"1177-10","USD","1177-10-0","Luz","0","71841"
"1177-10","USD","1177-10-1","Term. A. E. Carvalho","1","72493"
"1177-31","U__","1177-31-0","Luz","0","70860"
"1177-31","U__","1177-31-1","Term. A. E. Carvalho","1","81976"
"1178-10","USD","1178-10-0","Pça. Do Correio","0","73003"
"1178-10","USD","1178-10-1","São Miguel","1","70161"
"1178-31","U__","1178-31-0","Pça. Do Correio","0","73004"
"1178-31","U__","1178-31-1","São Miguel","1","70712"
"1178-32","U__","1178-32-0","Pça. Do Correio","0","58412"
"1178-33","U__","1178-33-0","São Miguel","0","61711"
"1178-42","U__","1178-42-0","Pça. Do Correio","0","73005"
"118C-10","USD","118C-10-0","Term. Amaral Gurgel","0","82106"
"118C-10","USD","118C-10-1","Jd. Pery Alto","1","82116"
"118Y-10","USD","118Y-10-0","Lapa","0","72957"
"118Y-10","USD","118Y-10-1","Lauzane Paulista","1","81798"
"119C-10","USD","119C-10-0","Term. Princ. Isabel","0","81619"
"119C-10","USD","119C-10-1","Pq. Edu Chaves","1","71439"
"119L-10","US_","119L-10-0","Term. Lapa","0","79401"
"119L-10","US_","119L-10-1","Vl. Sulina","1","79402"
"1206-10","USD","1206-10-0","Correio","0","64536"
"121G-10","USD","121G-10-0","Metrô Tucuruvi","0","52421"
"128Y-10","USD","128Y-10-0","Lapa","0","72731"
"128Y-10","USD","128Y-10-1","Jd. Pery Alto","1","81799"
"129F-10","USD","129F-10-0","Metrô Barra Funda","0","63902"
"129F-10","USD","129F-10-1","Conexão Petrônio Portela","1","63903"
"129F-41","U__","129F-41-0","Pça. Do Correio","0","72391"
"129F-41","U__","129F-41-1","Conexão Petrônio Portela","1","72392"
"139A-10","USD","139A-10-0","Lapa","0","61292"
"139A-10","USD","139A-10-1","Vl. Iório","1","61293"
"148L-10","USD","148L-10-0","Lapa","0","81144"
"148L-10","USD","148L-10-1","Cohab Antártica","1","52858"
"148P-10","USD","148P-10-0","Metrô Barra Funda","0","62166"
"148P-10","USD","148P-10-1","Pedra Branca","1","82472"
"1701-10","USD","1701-10-0","Metrô Santana","0","82273"
"1701-21","USD","1701-21-0","Metrô Tucuruvi","0","82218"
"1701-21","USD","1701-21-1","Jova Rural","1","82219"
"1701-22","U__","1701-22-0","Metrô Tucuruvi","0","82222"
"1701-22","U__","1701-22-1","Jova Rural","1","82223"
"1701-23","US_","1701-23-0","Metrô Santana","0","82270"
"1702-10","USD","1702-10-0","Tietê","0","61553"
"1702-10","USD","1702-10-1","Jova Rural","1","61554"
"1703-10","USD","1703-10-0","Shop. Center Norte","0","82378"
"1703-10","USD","1703-10-1","Jd. Fontális","1","82379"
"1705-10","USD","1705-10-0","Metrô Tucuruvi","0","82210"
"1705-10","USD","1705-10-1","Jd. São João","1","82211"
"1705-51","U__","1705-51-0","Metrô Tucuruvi","0","82214"
"1705-51","U__","1705-51-1","Cem. Pq. Da Cantareira","1","82215"
